course_id,text,filtered_text,count,text_vi
C_1011639,各位都是清华的,清华,1.0,Mọi người đều đến từ Đại học Thanh Hoa
C_1011639,倒计时2min,倒计时2min,1.0,Đếm ngược đến 2 phút
C_1011639,实在是闲居然很想看这个直播,实在闲居然想直播,1.0,Tôi thực sự muốn xem chương trình phát sóng trực tiếp này
C_1011639,签到,签到,23.0,Đăng nhập
C_1011639,雨课堂加入不了班级,雨课堂加入不了班级,1.0,Không thể tham gia lớp học trong Rain Classroom
C_1011639,敬候开始,敬候,1.0,Mong được bắt đầu
C_1011639,开始啦刷新一下,刷新一下,1.0,Hãy bắt đầu.
C_1011639,太卡了,太卡,1.0,Quá mắc kẹt
C_1011639,刷新一下有点卡,刷新一下有点卡,1.0,Đang làm mới hơi lag
C_1011639,卡不卡,卡不卡,1.0,Bị mắc kẹt hay không
C_1011639,根本进不去啊,根本进不去,1.0,Bạn không thể vào được
C_1011639,不卡的啊,不卡,2.0,Nó không bị kẹt
C_1011639,a股表示不够狠,a股表示不够狠,3.0,Cổ phiếu A có nghĩa là họ không đủ tàn nhẫn
C_1011639,掉线了,掉线,1.0,Đã ngắt kết nối
C_1011639,雨课堂不行了啊,雨课堂不行,1.0,Lớp học Mưa không còn tồn tại nữa.
C_1011639,雨课堂崩掉了,雨课堂崩掉,1.0,Lớp học mưa sụp đổ
C_1011639,雨课堂崩了,雨课堂崩,4.0,Lớp học mưa sụp đổ
C_1011639,认真蹲在学堂在线,认真蹲学堂在线,1.0,Ngồi xổm nghiêm túc trong trường học trực tuyến
C_1011639,这边画质高多了,画质高多,4.0,Chất lượng hình ảnh ở đây cao hơn nhiều
C_1011639,认真蹲学堂在线吧,认真蹲学堂在线,1.0,Nghiêm túc ngồi xổm học trực tuyến
C_1011639,就是画质高多了,画质高多,1.0,Chất lượng hình ảnh cao hơn nhiều
C_1011639,卡死了,卡死,2.0,mắc kẹt
C_1011639,一篇跌停,一篇跌停,1.0,Một bài viết hạ thấp giới hạn
C_1011639,错过了一个亿h,错过一个亿h,1.0,Bỏ lỡ 100 triệu giờ
C_1011639,不能播,不能播,1.0,không thể chơi
C_1011639,要不是我没有本钱,没有本钱,1.0,Nếu tôi không có vốn
C_1011639,test,test,1.0,Bài kiểm tra
C_1011639,能看到我吗,看到,2.0,bạn có thể nhìn thấy tôi không
C_1011639,手机看流畅,手机流畅,1.0,Xem mượt mà trên điện thoại di động
C_1011639,ermmmmm,ermmmmm,1.0,ờmmmmmmm
C_1011639,完美卡住,完美卡住,1.0,Bị mắc kẹt hoàn hảo
C_1011639,上课还交头接耳,上课交头接耳,1.0,Thậm chí thì thầm với nhau trong lớp
C_1011639,不卡,不卡,1.0,Không bị kẹt
C_1011639,画质不错,画质不错,1.0,Chất lượng hình ảnh tốt
C_1011639,卡卡卡,卡卡卡,1.0,Kakaka
C_1011639,还是学堂在线靠谱,学堂在线谱,1.0,Xuetang Online có đáng tin cậy không?
C_1011639,打卡,打卡,28.0,Đăng ký vào
C_1011639,清华加油,清华加油,3.0,Cố lên Thanh Hoa
C_1011639,武汉加油,武汉加油,2.0,Cố lên Vũ Hán
C_1011639,雨课堂默默流下了眼泪,雨课堂默默流下眼泪,1.0,Lớp học mưa lặng lẽ rơi nước mắt
C_1011639,清华给力,清华给力,2.0,Thanh Hoa thật tuyệt vời
C_1011639,这边画质比雨课堂好,画质比雨课堂,1.0,Chất lượng hình ảnh ở đây tốt hơn Rain Classroom
C_1011639,聊着玩,聊着玩,1.0,Trò chuyện và vui vẻ
C_1011639,总算登录上了学堂在线,总算登录学堂在线,1.0,Cuối cùng đã đăng nhập vào Xuetang Online
C_1011639,画面如同静止,画面静止,1.0,Hình ảnh dường như vẫn còn
