course_id,text,filtered_text,count
C_697184,我们应该如何编写程序解决这个问题呢,应该编写程序解决问题,1.0
C_697184,8字节一个汉字在计算机中用两个字节表示,8字节汉字计算机两个字节表示,1.0
C_697184,方便计算机做减法减去一个数即为加上该数的补码,方便计算机减法减去数即加上该数补码,1.0
C_697184,加减运算方便一些吧,加减运算方便,1.0
C_697184,第一个应该是,第一个应该,1.0
C_697184,楼上说得对呀呀呀,楼上说得对呀呀,1.0
C_697184,内容好多啊好棒,内容好多棒,1.0
C_697184,没找到下载课件地方老师可以把ppt放上吗,没找到下载课件地方老师ppt放上,1.0
C_697184,品德是一种自我修养外化于心内化于行,品德自我修养外化于心内化于行,1.0
C_697184,央视哎,央视,1.0
C_697184,希望南开越办越好,希望南开越办越,1.0
C_697184,p和p有啥区别啊,pp区别,1.0
C_697184,c中需要9个字节,c需要9字节,1.0
C_697184,补码方便加减算,补码方便加减算,1.0
C_697184,感觉c语言和c差别不大,感觉c语言c差别,1.0
C_697184,感觉c语言和c差别不大,感觉c语言c差别,1.0
C_697184,如果既不输入1也不输入2呢输了一个3会不会也是按2计算,输入1输入2输3不会2计算,1.0
C_697184,范增俊豪,范增俊豪,1.0
C_697184,刘鸣宇,刘鸣宇,1.0
C_697184,看着脑壳疼,看着脑壳疼,1.0
C_697184,挺好,挺,1.0
C_697184,挺好,挺,1.0
C_697184,看不来哦一直黑屏,看不来一直黑屏,1.0
C_697184,说实话多文件编程我学了链接器原理才真正搞明白,说实话文件编程我学链接器原理真正搞明白,1.0
C_697188,桥有些看不清楚,桥看不清楚,1.0
C_697188,火车桥指的是前景逆光也就是黑乎乎的部分吗如果是这样的话可以考虑怎么突出它的特点比如在远处等待火车经过的时候拍这座桥,火车桥指前景逆光黑乎乎部分这样的话考虑突出特点远处等待火车拍这座桥,1.0
C_697188,给同学认真观察生活点个赞表现形式也不错仔细看的话白色塑料袋有些过曝啦不过不影响整体,同学认真观察生活点个赞表现形式不错仔细白色塑料袋曝影响整体,1.0
C_697188,老师用到的照片好赞喜欢,老师用到照片好赞喜欢,1.0
C_697188,收到谢谢你看得很仔细马上去核查,收到谢谢仔细马上核查,1.0
C_697188,现在相机科技发展如此迅速微单的对焦已不可同日而语某些内容应当适时更新,现在相机科技发展迅速微单对焦不可同日而语内容应当适时更新,1.0
C_697188,好棒,好棒,1.0
C_697188,学霸就是学霸,学霸学霸,1.0
C_697188,老师您好这个字幕好像打得不对,老师您好字幕好像打得,1.0
C_697188,老师讲课深入浅出原理讲的非常透彻,老师讲课深入浅出原理讲非常透彻,1.0
C_697188,大作业的内容是什么呢,作业内容,1.0
C_697188,打卡,打卡,877.0
C_697188,涨知识了,涨知识,1.0
C_697188,1取景方式2对焦速度,1取景方式2对焦速度,1.0
C_697188,谢谢老师,谢谢老师,6.0
C_697188,照片看不清,照片看不清,1.0
C_697188,照片看不清楚,照片看不清楚,1.0
C_697188,大专生前来报到,大专生前来报,1.0
C_697188,镜头下的事实更真实,镜头事实真实,1.0
C_697188,感谢老师,感谢老师,1.0
C_697188,录播,录播,1.0
C_697188,多拍多看,拍,2.0
C_697188,当然有没有镜头的相机,有没有镜头相机,1.0
C_697188,仅此一支字幕错了,仅一支字幕错,1.0
C_697188,定焦靠走,定焦靠走,1.0
C_697188,光圈越大越贵最大刻度容易有暗角,光圈越大越贵最大刻度容易暗角,1.0
C_697188,上完第一章课程就去看了寻找薇薇安迈尔这部片子很不错的纪录片,完第一章课程寻找薇薇安迈尔这部片子不错纪录片,1.0
C_697188,期待中,期待,1.0
C_697188,讲的真好,讲真,1.0
C_697188,已学完谢谢,已学完谢谢,1.0
C_697188,期待期待,期待期待,1.0
C_697188,是不是太亮了呀感觉老师手上的照片都看不清,是不是太亮感觉老师手上照片看不清,1.0
C_697188,老师分析的真好,老师分析真,1.0
C_697188,打卡学习,打卡学习,6.0
C_697188,学习了谢谢老师,学习谢谢老师,1.0
C_697188,光圈,光圈,1.0
C_697188,两大基本对焦原理反差式对焦和相位差式对焦,两大基本对焦原理反差式对焦相位差式对焦,1.0
C_697188,多少钱,钱,1.0
C_697188,学习,学习,6.0
C_697188,一门实用的课程希望对自己的摄影技术有所帮助和提升,一门实用课程希望摄影技术有所帮助提升,1.0
C_697188,谢谢清华梁老师,谢谢清华梁老师,1.0
C_697188,对焦就是调整凸镜距离将清楚的画面成像与胶片上,对焦调整凸镜距离清楚画面成像胶片,1.0
C_697188,为什么我视频打不开,视频打不开,1.0
C_697188,为什么看不到视频和浏览器有关吗,看不到视频浏览器,1.0
C_697188,打不开啊,打不开,1.0
C_697188,加油,加油,1.0
C_697188,下班打卡,下班打卡,1.0
C_697188,非常喜爱摄影,非常喜爱摄影,1.0
C_697188,简单的主题摄影目的,简单主题摄影目的,2.0
C_697188,镜头机身,镜头机身,1.0
C_697188,用于体育赛事动物远拍清晰丰富,用于体育赛事动物远拍清晰丰富,1.0
C_697188,长焦变焦镜头,长焦变焦镜头,1.0
C_697188,56和8,568,1.0
C_697188,图片是251英寸老师说271英寸想确认一下是251英寸还是271英寸,图片251英寸老师271英寸想确认一下251英寸271英寸,1.0
C_697188,图片是125英寸老师说127英寸想确认一下是125英寸还是127英寸,图片125英寸老师127英寸想确认一下125英寸127英寸,1.0
C_697188,1200mm长焦很稀罕,1200mm长焦稀罕,1.0
C_697188,打卡了,打卡,2.0
C_697188,讲的好,讲,1.0
C_697188,看完打卡20200218,完打卡20200218,1.0
C_697188,有意思,有意思,1.0
C_697188,梁老师真的太有魅力了,梁老师真的太有魅力,1.0
C_697188,s打卡,s打卡,1.0
C_697188,一个镜头的最大光孔又称这个镜头的镜头速度镜头速度越快能个在画面阴暗的环境下拍出比较正常画面亮度的画面问题四周暗角光线分辨率,镜头最大光孔又称镜头镜头速度镜头速度越快能个画面阴暗环境拍出比较正常画面亮度画面问题四周暗角光线分辨率,1.0
C_697188,多多益善,多多益善,1.0
C_697188,变焦定焦广角,变焦定焦广角,1.0
C_697188,长焦镜头体育摄影,长焦镜头体育摄影,1.0
C_697188,不错,不错,1.0
C_697188,挺好,挺,1.0
C_697188,谢谢老师能够有幸听您的课让我从0学起谢谢,谢谢老师能够有幸听课0学起谢谢,1.0
C_697188,开始学习,学习,2.0
C_697188,基本上每周更新一次,基本上每周更新一次,1.0
C_697188,同样一枚学习化学也喜欢摄影的人儿,同样一枚学习化学喜欢摄影人儿,1.0
C_697188,讲得很好,讲得,1.0
C_697188,想请教一下老师咸鱼上收镜头会有坑吗索尼的蔡司2470变焦卖3800是坑吗本人初学者手头有个a7和蔡司fe2835为了多用途和方便购入2470变焦镜头值不值,想请教一下老师咸鱼收镜头坑索尼蔡司2470变焦卖3800坑初学者手头有个a7蔡司fe2835多用途方便购入2470变焦镜头值不值,1.0
C_697188,学习打卡,学习打卡,6.0
C_697188,讲相位差式对焦是说看图片突然呢我们看不到啊不知道讲到哪里,讲相位差式对焦图片突然看不到知道讲,1.0
C_697188,个人理解一亿像素只是手机厂的噱头罢了像素大只是放大了清晰但成像质量差远了举个不太恰当大的例子就好比你让一百个人住进一百平方米的房子和让十个人住进一百平方米的房子这生活质量能一样嘛,个人理解一亿像素手机厂噱头像素放大清晰成像质量差远了举个太恰当例子好比一百个人住进一百平方米房子十个人住进一百平方米房子生活质量,1.0
C_697188,初来乍到,初来乍到,1.0
C_697188,日光不是5500吗,日光5500,1.0
C_697188,老师课程讲的好什么时候更新,老师课程讲更新,1.0
C_697188,求bgm,求bgm,1.0
C_697188,懂了,懂,1.0
C_697188,连乘关系的话每个档位应该是亮度变为原来的三次根号下二倍,连乘关系每个档位应该亮度变为原来三次根号二倍,1.0
C_697188,打卡卡卡,打卡卡卡,1.0
C_697188,打咔咔咔,咔咔咔,1.0
C_697188,传达认识与关爱的方式,传达认识关爱方式,1.0
C_697188,长焦镜头捕捉细节之美,长焦镜头捕捉细节之美,2.0
C_697188,保险柜里的大镜头,保险柜里镜头,1.0
C_697188,不同传感器的画幅在相同焦段下拍摄照片视角不同尽可能在低感光度下通过调节光圈快门来调节照片的影调,不同传感器画幅相同焦段拍摄照片视角不同尽可能低感光度调节光圈快门调节照片影调,1.0
C_697188,谢谢,谢谢,3.0
C_697188,最大刻度有暗角与哲学相通了现场演示光圈效果好理解印象深,最大刻度暗角哲学相通现场演示光圈效果理解印象深,2.0
C_697188,梁老师真棒,梁老师真棒,1.0
C_697188,有爱要认真学,有爱要认真学,1.0
C_697188,继续努力,继续努力,1.0
C_697188,除了预算以外还要看用途也就是拍什么样的题材,预算以外用途拍题材,1.0
C_697188,真是大佬,真是大佬,1.0
C_697188,感觉推荐的相机差了一代整体提升一代差不多是现在的市场,感觉推荐相机差一代整体提升一代差不多现在市场,1.0
C_697188,这种授课方式特别好,这种授课方式特别,1.0
C_697188,镜头盖钻孔cmos上会落灰吧,镜头盖钻孔cmos上会落灰,1.0
C_697188,ok,ok,1.0
C_697188,张博师兄拍的照片真好看羡慕,张博师兄拍照片真好看羡慕,1.0
C_697188,老师的课客观实用,老师课客观实用,1.0
C_697188,打卡yh,打卡yh,1.0
C_697188,dkyr,dkyr,9.0
C_697188,yrdk,yrdk,1.0
C_697188,对世界的好奇心对身边人的关心这两点很重要,世界好奇心身边关心这两点重要,1.0
C_697188,nice,nice,1.0
C_697188,httpstuchongcom14834570,httpstuchongcom14834570,1.0
C_697188,要保护好这玩意损失了心疼几万块,保护玩意损失心疼几万块,1.0
C_697188,了解,了解,1.0
C_697188,要站在巨人肩膀上学习还有就是拍摄主题的选择最重要的还是实践光说不练永远不行,站巨人肩膀学习拍摄主题选择重要实践光说不练永远不行,1.0
C_697188,我从事新闻摄影也有3年了也有部分作品在报纸发表了现在再学习老师的课程回炉再造,从事新闻摄影3部分作品报纸发表现在学习老师课程回炉再造,1.0
C_697188,光圈越小焦距越短物距越远画幅越小景深越深,光圈越小焦距越短物距越远画幅越小景深越深,1.0
C_697188,为啥看完了现实没学习呢,为啥完现实没学习,1.0
C_697188,连拍一秒二十张佳能1dx真的做到了,拍一秒二十张佳能1dx真的做到,1.0
C_697188,摄影是艺术的表达形式,摄影艺术表达形式,1.0
C_697188,一般拍想要分辨率高一点一般用56或者8,拍想要分辨率高一点568,1.0
C_697188,打卡打卡,打卡打卡,3.0
C_697188,预算和用途,预算用途,1.0
C_697188,学习打,学习,2.0
C_697188,打卡1,打卡1,1.0
C_697188,陈宇翔打卡,陈宇翔打卡,1.0
C_697188,学无止境有备无,学无止境有备,1.0
C_697188,新闻专业来的,新闻专业,1.0
C_697188,初学了解摄影,初学了解摄影,2.0
C_697188,200mm,200mm,1.0
C_697188,打卡受益良多,打卡受益良多,1.0
C_697188,小白来学习,小白来学习,1.0
C_697188,签到,签到,2.0
C_697188,作业发这个讨论吗,作业发讨论,1.0
C_697188,老师讲挺仔细可惜我是个外行谢谢老师讲,老师讲挺仔细可惜外行谢谢老师讲,1.0
C_697188,哈哈等不及了都,等不及,1.0
C_697188,答疑打卡,答疑打卡,1.0
C_697188,打开,打开,1.0
C_697188,高一妹妹来听课啦,高一妹妹听课,1.0
C_697188,没有长焦镜头就一个小定焦哈哈,没有长焦镜头小定焦,1.0
C_697188,讲的很形象,讲形象,1.0
C_697188,啥时候更新啊,啥时候更新,1.0
C_697188,我也希望早点传上来,希望早点传上来,1.0
C_697188,蹭课ing,蹭课ing,1.0
C_697188,来咯,咯,1.0
C_697188,叶美兰,叶美兰,3.0
C_697188,章淑红,章淑红,8.0
C_697188,打卡感谢清华开放这么好的课,打卡感谢清华开放课,1.0
C_697188,学到了很多细节知识,学到很多细节知识,1.0
C_697188,飞鼠的照片是后期ps还是多次曝光拍的,飞鼠照片后期ps多次曝光拍,1.0
C_697188,熟悉的音乐,熟悉音乐,1.0
C_697188,0基础来蹭个课,0基础蹭课,1.0
C_697188,这些问题都不知,问题不知,1.0
C_697188,apsc与全画幅相机是以成像面积来计算的镜头焦距的计算不能成为拍摄远距离景物的大小来计算而是成像面积来计算,apsc全画幅相机成像面积计算镜头焦距计算不能成为拍摄远距离景物大小计算成像面积计算,1.0
C_697188,十年摄影爱好者打卡感谢老师,十年摄影爱好者打卡感谢老师,1.0
C_697188,好了准备买相机,准备买相机,1.0
C_697188,打卡哦,打卡,1.0
C_697188,单反和微单的区别,单反微单区别,1.0
C_697188,讲得好棒,讲得棒,1.0
C_697188,继续,继续,1.0
C_697188,15年的录播哦,15录播,1.0
C_697188,继续学习,继续学习,2.0
C_697188,小白打卡,小白打卡,2.0
C_697188,卡打,卡打,1.0
C_697188,感谢上传,感谢上传,1.0
C_697188,什么样的行动,行动,1.0
C_697188,红红打卡,红红打卡,1.0
C_697188,红红,红红,2.0
C_697188,继续打卡,继续打卡,2.0
C_697188,老师讲解得很好清晰而具体,老师讲解清晰具体,1.0
C_697188,去学习学习多谢,学习学习多谢,1.0
C_697188,比较喜欢老师拿的一些好照片和分析讲演,比较喜欢老师照片分析讲演,1.0
C_697188,重新认识摄影,重新认识摄影,1.0
C_697188,这里的课程太好了,课程太好了,1.0
C_697188,姐姐真好看,姐姐真好看,1.0
C_697188,讲的细,讲细,1.0
C_697188,讲的比较透彻,讲比较透彻,1.0
C_697188,滴学生卡,滴学生卡,1.0
C_697188,问什么看不成视频是只有我的不行吗,问视频不行,1.0
C_697188,字幕确实不对啊,字幕确实,1.0
C_697188,非常感谢梁老师,非常感谢梁老师,1.0
C_697188,谢谢梁老师,谢谢梁老师,4.0
C_697188,爱好来看,爱好来看,1.0
C_697188,为爱好来看,爱好来看,1.0
C_697188,字幕目测不是本期的字幕加错了,字幕目测本期字幕加错,1.0
C_697188,550缺了一张夕阳下泛起水花的照片,550缺一张夕阳泛起水花照片,1.0
C_697188,又忍不住夸赞梁老师了,忍不住夸赞梁老师,1.0
C_697188,为梁老师点赞,为梁老师点赞,1.0
C_697188,打矢,打矢,1.0
C_697188,字幕错了,字幕错,2.0
C_697188,各种各样的食物而不是实物,各种各样食物实物,1.0
C_697188,这门课程其实去年也开过而且我发现是一样的,这门课程其实去年开过发现,1.0
C_697188,所以我在想交作业的渠道是不是有变化,想交作业渠道是不是变化,1.0
C_697188,不会连续播放麻烦,不会连续播放麻烦,1.0
C_697188,老师的语言表达非常准确和高水准,老师语言表达非常准确高水准,1.0
C_697188,梁老师越来越帅了,梁老师越来越帅,1.0
C_697188,我还没有进组助教老师,没有进组助教老师,1.0
C_697188,人在纽约,纽约,1.0
C_697188,太惨了,太惨,1.0
C_697188,老师们讲得很好受教了,老师讲好受教,1.0
C_697188,课程录制在2016年,课程录制2016,1.0
C_697188,佳能eos70d18135镜头用a档模式拍摄时出现高光于是下调光圈到f22时就不能再往下调了是不是这种镜头最小光圈就是f22还是其它的原因,佳能eos70d18135镜头a档模式拍摄出现高光下调光圈f22不能下调是不是这种镜头最小光圈f22原因,1.0
C_697188,很系统非常适合小白入门,系统非常适合小白入门,1.0
C_697188,不是很雅观,雅观,1.0
C_697188,讲的不错,讲不错,1.0
C_697188,背景音乐好评,背景音乐好评,1.0
C_697188,摄影之外的人生体验,摄影之外人生体验,1.0
C_697188,第一张晚霞的特别美加油,第一张晚霞特别美加油,1.0
C_697188,很棒期待更多作品可以考虑组图,很棒期待作品考虑组图,1.0
C_697188,重复过程中的变化,重复过程变化,1.0
